Name,City,State,Zip,Amount
Waupun Senior High School,Waupun,WI,53963,150
South San Francisco High School,S San Fran,CA,94080,150
Phoenix Charter Academy-Springfield,Springfield,MA,00nan,2700
Mott Hall High School,New York,NY,10030,150
Port Protection School,Ketchikan,AK,99950,150
Rockland Country Day School,Congers,NY,10920,500
Union Church Christian Academy,Tylertown,MS,39667,500
White Sulphur Springs High School,Wht Sphr Spgs,MT,59645,150
Copenhagen Central School,Copenhagen,NY,13626,150
Pathways in Education - Brighton Park,Chicago,IL,00nan,2700
Saint Annes Academy For Girls,Gainesville,VA,20155,2700
New Lebanon Junior Senior High School,New Lebanon,NY,12125,150
Winona High School,Winona,TX,75792,150
Platte Valley High School,Kersey,CO,80644,150
West Haven High School,West Haven,CT,06516,150
Washington Waldorf School High School,Bethesda,MD,20816,150
Choctaw Central High School,Choctaw,MS,39350,150
Oregon Islamic Academy,Portland,OR,97207,150
Southeast Warren Junior-Senior High School,Liberty Ctr,IA,50145,150
Arapahoe High School,Centennial,CO,80122,150
Monroe Alternative Charter School,Monroe,WI,53566,500
C D Hylton Senior High School,Woodbridge,VA,22193,150
Buhach Colony High School,Atwater,CA,95301,150
Life Skills Center of Colorado Springs,Colorado Spgs,CO,80910,500
Judith Gap High School,Judith Gap,MT,59453,150
Accelerated Achievement Academy - North Cincinnati,Cincinnati,OH,45219,150
Avanti High School,Olympia,WA,98501,150
Parishville-Hopkinton Central School,Parishville,NY,13672,150
West Johnston High School,Benson,NC,27504,150
21st Century CTE Early College High School,Weslaco,TX,78596,500
Downtown College Prep High School,San Jose,CA,95110,150
Castro Valley Adult School,Castro Valley,CA,94546,150
Tecumseh Junior-Senior High School,Lynnville,IN,47619,150
Christian Life Church Academy,Westerville,OH,43082,500
Old Time Baptist Academy,Hamburg,NY,14075,150
Garrett M Cleveland School of Science,Cleveland,OH,44113,150
Grant Career Center,Bethel,OH,45106,150
Acadia Christian School,Trenton,ME,04605,500
Justin F Kimball High School,Dallas,TX,75233,150
Reedsville High School,Reedsville,WI,54230,150
Mater Dei High School,Breese,IL,62230,500
New Tech Odessa,Odessa,TX,79762,150
Cesar Chavez Cds,Los Angeles,CA,90023,150
Sky View High School,Smithfield,UT,84335,150
Brocton Central School,Brocton,NY,14716,150
Berks Catholic High School,Reading,PA,19611,2700
Will C Wood High School,Vacaville,CA,95687,150
Wilmington Christian Academy,Wilmington,NC,28405,500
Boston School International,Panama,PANAMA,00nan,2700
Pillager High School,Pillager,MN,56473,150
Spring Woods Senior High School,Houston,TX,77080,150
Fresno Christian High School,Fresno,CA,93720,500
British International School of Chicago,Chicago,IL,60605,150
Miriam Pellicer School of Piano,North Bergen,NJ,07047,500
Chestnut Ridge Christian Academy,Uniontown,PA,15401,500
Relevant Academy of Eaton County,Charlotte,MI,00nan,2700
Bloom-Carroll High School,Carroll,OH,43112,150
Farwell Area High School,Farwell,MI,48622,150
Blackhawk High School,Beaver Falls,PA,15010,150
South Verde Technology Magnet School,Camp Verde,AZ,86322,150
Success High School,Round Rock,TX,78664,150
Wasilla Lake Christian School,Wasilla,AK,99654,500
International Leadership of Texas - Arlington High School,Arlington,TX,76014,150
Melody Christian Academy,Live Oak,FL,32060,500
Natchez High School,Natchez,MS,39120,150
Mason City Alternative High School,Mason City,IA,50401,500
Sappo School,Medford,NY,11763,500
Todd County Central High School,Elkton,KY,42220,150
Health Leadership High School,Albuquerque,NM,87106,150
Providence High School,Santa Barbara,CA,93103,2700
Novitas Academy,Emmett,ID,00nan,2700
Genesis Christian Academy,Johnstown,PA,15904,500
Shongaloo High School,Shongaloo,LA,71072,150
Luther East High School,Lansing,IL,60438,500
Sunrise High School,Avenal,CA,93204,150
Ohio State School for the Blind,Columbus,OH,43214,150
Life School Red Oak,Waxahachie,TX,75165,500
Camelot School,Des Plaines,IL,60016,500
Quest Charter Academy High School,Peoria,IL,61604,500
Wrenshall High School,Wrenshall,MN,55797,150
Helen Hayes Hospital School,West Haverstraw,NY,10993,150
Alma Heights Christian High School,Pacifica,CA,94044,500
Tazewell Christian Academy,N Tazewell,VA,24630,500
Phillips Academy,Andover,MA,01810,500
Abraxa I Arlene Lissner High School,Marienville,PA,16239,150
Doulos Discovery School,Fort Pierce,FL,34946,150
Budjak Education Incorporated,Portland,OR,97213,150
Lamesa High School,Lamesa,TX,79331,150
Western Sports Academy,Park City,UT,00nan,2700
Saint James Preparatory School,Newark,NJ,07102,2700
Bayamon Military Academy,Sabana Seca,PR,00952,2700
Pioneer Junior-Senior High School,Royal Center,IN,46978,150
Welch Nazarene Christian Academy,Welch,WV,24801,500
Lake Country Lutheran High School,Hartland,WI,53029,150
South Plantation High School,Plantation,FL,33317,150
McLeod West High School,Brownton,MN,55312,500
PCM High School,Monroe,IA,50170,150
Padre Pio Academy,Garden Grove,CA,92841,500
Sky Mountain Charter School,Placerville,CA,95667,500
Phoenix College Preparatory Academy,Phoenix,AZ,85013,500
Knoxville Baptist Christian School,Knoxville,TN,37917,500
Madison-Ridgeland Academy,Madison,MS,39110,500
Windward School,Los Angeles,CA,90066,150
Lustre Christian High School,Frazer,MT,59225,500
Currituck County High School,Barco,NC,27917,150
Southern Choctaw High School,Gilbertown,AL,36908,150
Farragut High School,Knoxville,TN,37934,150
Connell High School,Connell,WA,99326,150
Grace Family Christian Academy,Ladson,SC,29456,500
La Vega High School,Waco,TX,76705,150
Beach High School,Long Beach,CA,90815,150
Loveless Academic Magnet Program High School,Montgomery,AL,36108,500
Calgary Society for Effective Education of Learning Disabled,Calgary,AB,00nan,2700
Gordonsville High School,Gordonsville,TN,38563,150
Independent Baptist Christian Academy,Shippensburg,PA,17257,500
Gordon Central High School,Calhoun,GA,30701,150
Thornton Fractional North High School,Calumet City,IL,60409,150
Mexico Senior High School,Mexico,MO,65265,500
Pike Christian Academy,Waverly,OH,45690,500
Gloria Deo Academy,Bulverde,TX,78163,500
Maywood Academy High School,Maywood,CA,90270,500
Nancy B Jefferson Alternative School,Chicago,IL,60612,150
Natchitoches Christian Academy,Natchitoches,LA,71457,500
Hickory Grove High School,Marion,OH,43302,150
Scottsdale Christian Academy,Phoenix,AZ,85032,500
Gateways High School,Springfield,OR,97477,150
Frederick L Chamberlain School,Middleboro,MA,02346,150
Malad High School,Malad City,ID,83252,500
Klamath River Early College of the Redwoods,Klamath,CA,95548,150
West Melbourne Christian Academy,Melbourne,FL,32904,500
Tri-Cities Christian Schools: Blountville Campus,Blountville,TN,37617,500
Campus School of the Humanities at Erasmus Hall,Brooklyn,NY,11226,150
Paladin Academy,Pembroke Pnes,FL,33028,500
Sheboygan Falls High School,Sheboygan Fls,WI,53085,150
New Way School,Scottsdale,AZ,85257,150
Clinton Street Greater Beth Temple Christian School,Detroit,MI,48206,500
Saint Luke's School,New Canaan,CT,06840,2700
Bettendorf High School,Bettendorf,IA,52722,150
Ross Global Academy Charter School,New York,NY,10002,150
Ralston Valley High School,Arvada,CO,80005,150
Philadelphia Military Academy,Philadelphia,PA,19150,150
Academy of Our Lady of Peace,San Diego,CA,92116,2700
Buckhorn Children's Center,Buckhorn,KY,41721,150
Lycee International de Los Angeles,Los Angeles,CA,90027,500
Cates High School,Decatur,TX,76234,150
Arp High School,Arp,TX,75750,150
Crosspoint Academy,Bremerton,WA,98312,500
Mott Hall V,Bronx,NY,10472,150
Apple Valley Christian School,Apple Valley,CA,92308,500
Maybeck High School,Berkeley,CA,94705,500
Gary Adult High School,Tampa,FL,00nan,2700
Drop Back In Academy - Ocala,Ocala,FL,34475,150
North American Family Institute Alternatives,Providence,RI,02906,150
Tiospaye Topa School,Ridgeview,SD,57652,150
Pathways In Education-TN,Memphis,TN,38127,150
Strasburg High School,Strasburg,VA,22657,150
Presidio School,Tucson,AZ,85719,500
Mahtomedi Senior High School,Mahtomedi,MN,55115,500
Robert E Lee Academy,Bishopville,SC,29010,500
Grand Terrace High School,Grand Terrace,CA,92313,150
Stanley Community Public Junior-Senior High School,Stanley,ND,58784,150
Regional Christian School,Delbarton,WV,25670,500
21st Century Cyber Charter School,West Chester,PA,19380,150
Canyon Heights High School,Kaysville,UT,84037,150
World Hope Academy,Miami,FL,33196,150
Soper Public School,Soper,OK,74759,150
Lehighton Area High School,Lehighton,PA,18235,150
Leggett Independent High School,Leggett,TX,77350,150
North Division High School,Milwaukee,WI,53206,150
Apalachicola Forest Youth Camp,Hosford,FL,32334,150
Conner Senior High School,Hebron,KY,41048,150
Kenowa Hills High School,Grand Rapids,MI,49544,150
New Garden Friend School,Greensboro,NC,27410,150
Penn Manor High School,Millersville,PA,17551,150
Klamath Adult Learning Center,Klamath Falls,OR,97603,150
Des Lacs-Burlington High School,Des Lacs,ND,58733,150
Busan International High School,Busan,,00nan,2700
Al Ittihad National Private School - Abu Dhabi,Abu Dhabi,ABU ZABY,00nan,2700
Michigan Islamic Academy,Ann Arbor,MI,48105,500
Oregon School For The Deaf,Salem,OR,97301,150
Southwood High School,Shreveport,LA,71118,150
Woodlawn School,Mooresville,NC,28115,150
Bishop Seabury Academy,Lawrence,KS,66047,2700
Heartland Community School,Henderson,NE,68371,150
Bakersfield Adventist Academy,Bakersfield,CA,93306,500
William J Palmer High School,Colorado Spgs,CO,80903,150
Project ECHO High School,Johnston City,IL,62951,150
Beijing Number 80 High School,Bejing,,00nan,2700
Halau Lokahi Public Charter School,Honolulu,HI,96817,150
Findlay Digital Academy,Findlay,OH,45840,150
North Nicholas High School,Cape Coral,FL,33991,150
E T S Chaiyim School,Montgomry Vlg,MD,20886,500
Porters Chapel Academy,Vicksburg,MS,39180,500
Jeff Davis High School,Hazlehurst,GA,31539,150
Northville Central School,Northville,NY,12134,150
Merino Junior Senior High School,Merino,CO,80741,500
School for Urban Planning and Architecture,Milwaukee,WI,53215,500
Waxahachie Faith Family Academy,Waxahachie,TX,75167,150
Sato Academy of Math & Science,Long Beach,CA,00nan,2700
Packer Collegiate Institute,Brooklyn,NY,11201,500
School For Young Performers,New York,NY,10013,500
Molokai Christian Academy,Hoolehua,HI,96729,500
Fayette Christian Academy and High School,Vandalia,IL,62471,500
Pershing High School,Fresno,CA,93723,150
Milwaukee Seventh Day Adventists School,Milwaukee,WI,53225,500
Benjamin O Davis Jr Aero Technical High School,Detroit,MI,48234,150
Delta Cyber School,Delta Junction,AK,99737,150
Bastrop Christian School,Bastrop,TX,78602,500
Oak Grove Lutheran High School,Fargo,ND,58102,150
Waggener Traditional High School,Louisville,KY,40207,150
North Campus High School,San Pablo,CA,94806,150
Menlo Atherton High School,Atherton,CA,94027,500
Performance Conservatory High School,Bronx,NY,10460,150
Nandua High School,Onley,VA,23418,150
Advanced Tech at College (Community College of Philadelphia),Philadelphia,PA,19130,150
Golden Isles Career Academy,Brunswick,GA,31525,150
Heritage Oak School,Tehachapi,CA,93561,150
Vanden High School,Fairfield,CA,94533,150
Escuela Popular Center Training Careers Family Learning,San Jose,CA,95127,150
Shelterwood School,Branson,MO,65616,500
Thomas Fitzsimons Girls High School,Philadelphia,PA,19132,150
Taos Christian Academy,Taos,NM,87571,500
Yeshivat Magen Abraham,Brooklyn,NY,11223,500
Wallis Annenberg High School,Los Angeles,CA,90037,150
Ivy Preparatory Young Mens Leadership Academy,Atlanta,GA,30317,150
Priest River Lamanna High School,Priest River,ID,83856,150
Galeton Area High School,Galeton,PA,16922,150
Sparks High School,Sparks,NV,89431,150
Augusta Preparatory Day School,Martinez,GA,30907,150
Potomac Senior High School,Dumfries,VA,22026,150
Alex High School,Alex,OK,73002,150
Star Valley High School,Afton,WY,83110,150
Westside Christian High School,Lake Oswego,OR,97035,500
Cleveland High School For Digital Arts,Cleveland,OH,44114,150
Roaring Fork High School,Carbondale,CO,81623,150
Cecilia High School,Cecilia,LA,70521,150
H E M Junior-Senior High School,Hanna,WY,82327,150
The Frankfort Christian Academy,Frankfort,KY,40601,500
Prophetstown High School,Prophetstown,IL,61277,150
Confluence Preparatory Academy,Saint Louis,MO,63103,150
JCFA - East,New Orleans,LA,00nan,2700
Antonian College Preparatory High School,San Antonio,TX,78213,2700
Hope Christian School,Pelham,AL,35124,500
Tidewater Adventist Academy,Chesapeake,VA,23320,500
Henry Ford Collegiate Academy At Dearborn Hs,Dearborn,MI,48124,150
Avant Garde Academy Osceola,Kissimmee,FL,34744,500
Blue Ridge Job Corps Center,Marion,VA,24354,150
North Fork School,Mccall,ID,83638,150
Bowman Academy,Bowman,SC,29018,150
Pace Center for Girls: Polk County,Lakeland,FL,33801,500
Freeburg High School,Freeburg,IL,62243,150
Avant Garde Academy Of Broward,Hollywood,FL,33020,500
Bonita Vista High School,Chula Vista,CA,91913,150
Baxter Springs High School,Baxter Spgs,KS,66713,150
Our Lady of Nazareth Academy,Wakefield,MA,01880,2700
Christian Community Schools,Grand Jct,CO,81504,500
Victory Performing Arts Academy,Pace,FL,32571,150
Surprise Valley High School,Cedarville,CA,96104,150
Carterville High School,Carterville,IL,62918,150
Southwest Education Center,Bakersfield,CA,93304,500
Aces High School,Everett,WA,98204,150
Sand Creek High School,Colorado Spgs,CO,80922,150
E L Bowsher High School,Toledo,OH,43614,150
Springfield Catholic High School,Springfield,MO,65809,2700
Cuyahoga Heights Local High School,Cleveland,OH,44125,150
Brenau Academy,Gainesville,GA,30501,150
Salam High School,Milwaukee,WI,53221,500
Knox City High School,Knox City,TX,79529,150
Lake View Academy,Chicago,IL,60613,150
Nowata Senior High School,Nowata,OK,74048,150
Castile Christian Academy,Castile,NY,14427,500
Cheatham County Adult High School,Ashland City,TN,37015,150
Holy Place Christian Academy,Chester,SC,29706,500
Derry Area High School,Derry,PA,15627,150
Conrad High School,Conrad,MT,59425,150
Fremont Union High School District Adult Education,Sunnyvale,CA,00nan,2700
Irvington Christian Academy,Houston,TX,77009,500
Ben Franklin Terry High School,Rosenberg,TX,77471,150
Wahconah Regional High School,Dalton,MA,01226,150
Tinley Park High School,Tinley Park,IL,60477,150
West Jones Junior-Senior High School,Laurel,MS,39443,150
Forreston Junior-Senior High School,Forreston,IL,61030,150
Grosse Ile High School,Grosse Ile,MI,48138,150
Cardington-Lincoln High School,Cardington,OH,43315,150
Kearns High School,Salt Lake Cty,UT,84118,150
Jamaica Evening High School,Jamaica,NY,11432,150
Frayser Academy for Christian Education,Memphis,TN,38127,500
Central A And M High School,Moweaqua,IL,62550,150
San Joaquin Valley High School,Parlier,CA,00nan,2700
Chatsworth High School,Chatsworth,CA,91311,150
Saint Gerard Majella Alternative School,New Orleans,LA,70122,2700
Thurgood Marshall High School 424,Baltimore,MD,21206,150
Orchard Farm Junior-Senior High School,Saint Charles,MO,63301,150
Fort Defiance High School,Fort Defiance,VA,24437,150
Atlantis Academy - Palm Beaches,West Palm Bch,FL,33406,150
Lovejoy Computerized Technology Academy,Lovejoy,IL,62059,500
Melba Junior-Senior High School,Melba,ID,83641,500
Collaborative Alternative Magnet School,Northford,CT,06472,150
El Cajon Apostolic Academy,El Cajon,CA,92019,150
Bronzeville Scholastic Institute,Chicago,IL,60615,150
Clearview School Day Treatment Program,Briarcliff Manor,NY,10510,150
BCC Canada,Seoul,SOUL-T'UKPYOLSI,00nan,2700
Mountain Top Baptist Academy,Welch,WV,24801,500
Beverly Institute,Jacksonville,FL,32205,150
Santa Fe South High School,Oklahoma City,OK,73129,500
Archbishop Oscar Romero High School,Edmonton,AB,00nan,2700
Los Fresnos High School,Los Fresnos,TX,78566,150
Aprilov National High School,Gabrovo,,00nan,2700
Fort Kent Community High School,Fort Kent,ME,04743,150
Rancho Del Campo Junior-Senior High School,Campo,CA,91906,150
Unionville High School,Kennett Sq,PA,19348,150
Alleyn's School,City Of London,GREATER LONDON,00nan,2700
Selah High School,Selah,WA,98942,150
Willamette Christian Academy,Salem,OR,97301,500
Alexandria Monroe High School,Alexandria,IN,46001,150
"Louisiana School for Math, Science and the Arts",Natchitoches,LA,71457,500
Webster High School,Webster,WI,54893,150
Grapevine Christian Academy,Madisonville,KY,42431,500
Zane Grey High School,Reseda,CA,91335,150
Grayville High School,Grayville,IL,62844,150
Fayetteville Street Christian School,Asheboro,NC,27203,500
New Hyde Park Memorial High School,New Hyde Park,NY,11040,150
Cedar Rapids Home School Assistance Program,Cedar Rapids,IA,52402,150
North Hills Classical Academy,Grand Rapids,MI,49525,150
Albuquerque Job Corps,Albuquerque,NM,87104,150
Detroit Lakes High School,Detroit Lakes,MN,56501,150
Milwaukee Spectrum Inc,Milwaukee,WI,53216,500
Ross School,East Hampton,NY,11937,500
Beavers Adventist Academy,Ardmore,OK,73401,500
Trinity Charter School,Corp Christi,TX,78412,500
Meigs High School,Pomeroy,OH,45769,500
Manhattan Business Academy,New York,NY,10011,500
Chimacum High School,Chimacum,WA,98325,150
Howardsville Christian School,Marcellus,MI,49067,500
Highland Christian Academy,Valdosta,GA,31601,500
West Hollywood Private School,Hollywood,FL,33023,150
Valley Heights Junior-Senior High School,Blue Rapids,KS,66411,150
Armbrust Christian Academy,Hunker,PA,00nan,2700
Piqua High School,Piqua,OH,45356,150
Cameron Christian Academy,Cameron,TX,00nan,2700
Casady School,Oklahoma City,OK,73120,500
Rock River High School,Rock River,WY,82083,150
Riverview East Academy,Cincinnati,OH,45226,150
Ozanam School,Kansas City,MO,64145,500
Arkport Central School,Arkport,NY,14807,150
Texas Empowerment Academy of Arts and Technology,Austin,TX,78702,500
Clark Magnet High School,La Crescenta,CA,91214,150
Fruitvale High School,Fruitvale,TX,75127,150
Joe Redington Senior Junior/Senior High School,Wasilla,AK,00nan,2700
El Paso School of Excellence,El Paso,TX,79936,150
Conestoga Christian School,Morgantown,PA,19543,500
Lake Shore Christian School,Plattsburgh,NY,12901,500
Jackson Memorial High School,Jackson,NJ,08527,150
MAST at FIU Biscayne Bay Campus,North Miami,FL,33181,500
Beaumont Early College High School,Beaumont,TX,00nan,2700
Napaaqtugmiut School,Noatak,AK,99761,150
Umpire High School,Umpire,AR,71971,150
Lake Highland Preparatory School,Orlando,FL,32803,150
Cristo Rey Columbus High School,Columbus,OH,43222,2700
Maplewood Comprehensive High School,Nashville,TN,37216,500
Kenton High School,Kenton,OH,43326,150
Jeremiah E Burke High School,Dorchester,MA,02121,150
Keyes Christian Academy,Keyes,CA,95328,500
Grandfield High School,Grandfield,OK,73546,150
Saint Michael's Catholic Academy,Austin,TX,78735,2700
Walhalla High School,Walhalla,SC,29691,150
Foundation Christian School,Meadville,PA,16335,500
Buford Road Christian Academy,N Chesterfld,VA,23235,500
Deer Valley High School,Glendale,AZ,85308,150
Chaska High School,Chaska,MN,55318,150
Jayhawk Linn High School,Mound City,KS,66056,150
Rogers Heritage High School,Rogers,AR,72756,150
Sutton High School,Sutton,NE,68979,150
Brookings Harbor High School,Brookings,OR,97415,150
Casa Grande High School,Petaluma,CA,94954,150
Rusk High School,Rusk,TX,75785,150
Tampa Educational Academy of Christian Heritage,Lutz,FL,33558,500
Elite Scholars Academy Charter School,Morrow,GA,30260,150
B L Smith Senior High School,Greensboro,NC,27407,150
Yeshiva Far Rockaway,Far Rockaway,NY,11691,150
Norfolk Senior High School,Norfolk,NE,68701,150
Marysville High School,Marysville,OH,43040,500
New York School For The Deaf,White Plains,NY,10603,150
Irondale Senior High School,New Brighton,MN,55112,150
Wood Rose Prep School,Concord,CA,94521,150
Bronaugh R-VII High School,Bronaugh,MO,64728,150
Walker River Continuation High School,Coleville,CA,96107,150
Lakeside Academy,Knoxville,TN,37919,150
Mill Neck Manor School for the Deaf,Mill Neck,NY,11765,500
Soledad Christian Academy,Soledad,CA,93960,500
John H Reagan Senior High School,Houston,TX,77008,150
Jamestown Area Junior-Senior High School,Jamestown,PA,16134,150
Santa Margarita Catholic High School,Rsm,CA,92688,2700
Northview Alternative High School,Grand Rapids,MI,49525,150
Ontario Christian School,Ontario,OR,97914,500
North Andover High School,North Andover,MA,01845,150
North Iowa High School,Buffalo Ctr,IA,50424,150
Horizons High School,East Elmhurst,NY,11370,150
Tower Grove Christian School,Saint Louis,MO,63110,500
Borger High School,Borger,TX,79007,150
Fci Academy,Columbus,OH,43219,150
James A Beneway High School,Ontario,NY,14519,150
Mooreville High School,Mooreville,MS,38857,150
A C Reynolds High School,Asheville,NC,28803,150
Oelrichs High School,Oelrichs,SD,57763,150
Starkville High School,Starkville,MS,39759,150
Deborah-Tennant Zinewicz School,Norwich,CT,06360,150
Show Low High School,Show Low,AZ,85901,150
Academia La Milagrosa de Cayey,Cayey,PR,00736,2700
Mare Island Technology Academy,Vallejo,CA,94589,500
PSAT-NMSQT School,New York,NY,10023,500
Grace Preparatory School,Stafford,VA,22556,500
Truebright Science Academy Charter School,Philadelphia,PA,19133,500
"Bishop Lynch High School, Incorporated",Dallas,TX,75228,2700
Betty H Fairfax High School,Laveen,AZ,85339,150
Pickerington High School Central,Pickerington,OH,43147,150
Dougherty Comprehensive High School,Albany,GA,31705,150
Phoenix Preparatory High School,Phoenix,AZ,85016,500
Stone Memorial High School,Crossville,TN,38571,150
Rice Audubon School,Louisville,KY,40242,150
Language Acquisition Program,Fontana,CA,92335,150
Rice High School,Rice,TX,75155,150
Desert Hills High School,St George,UT,84790,150
Kingsbury High School,Memphis,TN,38122,150
Columbus Global Academy,Columbus,OH,43211,150
Del Valle Opportunity Center,Del Valle,TX,78617,150
De La Salle Education Center,Kansas City,MO,64109,150
54th Street Academy,Grand Rapids,MI,00nan,2700
Henry Sibley Senior High School,Mendota Hts,MN,55118,150
Goodwell High School,Goodwell,OK,73939,150
Westgate Christian Academy,Spring Hill,FL,34611,500
Merced Christian Academy,Long Beach,CA,90808,500
Three Forks High School,Three Forks,MT,59752,150
Woodsville High School,Woodsville,NH,03785,150
Calvary Fellowship School,Florence,AL,35630,500
Kasson-Mantorville High School,Kasson,MN,55944,150
Living Education Center,Charlottesvle,VA,22902,500
Honors Academy at Cedar Crest,Belton,TX,76513,150
Northwest Christian Campus,Decatur,IL,62526,500
Walker Valley High School,Cleveland,TN,37312,150
Peoria Alternative High School,Peoria,IL,61603,150
Washougal High School,Washougal,WA,98671,150
Design Lab Early College High School,Cleveland,OH,44114,150
Montpelier Public School,Montpelier,ND,58472,150
Mount Judea High School,Mt Judea,AR,72655,150
Abbotsford Virtual School,Abbotsford,BC,00nan,2700
Brandywine High School,Wilmington,DE,19803,150
Falls Career High School,Marble Falls,TX,78654,150
Broadway Bridge Alternative School,Tucson,AZ,85719,150
White House Christian Academy,White House,TN,37188,500
Fremont Ross High School,Fremont,OH,43420,150
Faith Fellowship School,Yadkinville,NC,27055,500
Amity International School-Saket,New Delhi,DELHI,00nan,2700
Santa Maria High School,Santa Maria,CA,93454,150
Hillview High School,Santa Ana,CA,92705,150
Westmorland Basic Christian School,Westmorland,CA,92281,500
Griffith Centers For Children,Colorado Spgs,CO,80909,150
Jane Addams/Middle College Program,Cleveland,OH,44115,150
Chesterton Academy of Sacramento,N Highlands,CA,95660,2700
Scotland High School of Health Sciences,Laurinburg,NC,28352,150
Wilmington Early College High School,Castle Hayne,NC,28429,150
Best Practice High School,Chicago,IL,60612,150
Shaker Heights High School,Shaker Hts,OH,44120,150
North Country Union High School,Newport,VT,05855,150
SBC Pacific Technology School - Orangevale,Orangevale,CA,95662,500
Fallsburg High School,Fallsburg,NY,12733,150
Andover Central School,Andover,NY,14806,150
Bronx High School Of Business,Bronx,NY,10457,150
Advanced Christian Training School,Paso Robles,CA,93447,500
El-Shaddai Christian School Incorporated,Kissimmee,FL,34744,500
Shiprock Northwest High School,Shiprock,NM,87420,500
Cistercian Preparatory School,Irving,TX,75039,500
Gaffney High School,Gaffney,SC,29341,150
South Lakes High School,Reston,VA,20191,150
Rocky Hill High School,Rocky Hill,CT,06067,150
Raymondville Options Academic Academy,Raymondville,TX,78580,150
Novi Christian School,Novi,MI,48375,500
Calhoun County High School,Edison,GA,39846,150
Saint Patrick's High School,Portland,MI,48875,2700
Blue Hill Harbor School,Blue Hill,ME,04614,150
Manchester Academy,Yazoo City,MS,39194,500
Bridge Academy Charter High School,Las Vegas,NM,87701,150
Central Arkansas Christian School,No Little Rock,AR,72113,500
Nolensville High School,Nolensville,TN,00nan,2700
Big Picture High School at Williams,Chicago,IL,60616,500
Triad High School,Troy,IL,62294,150
Arts and Media Preparatory Academy,Brooklyn,NY,11203,150
Weems High School,Cleveland,OH,44114,150
Aga Khan Mzizima Secondary School,Dar Es Salaam,,00nan,2700
Coral Ridge Baptist School,Jacksonville,FL,32245,500
Hosanna Christian Academy,Baton Rouge,LA,70806,500
Harmony School of Innovation: El Paso,El Paso,TX,79924,150
Rootstown High School,Rootstown,OH,44272,150
Kinkaid School,Houston,TX,77024,150
Chesterton Academy of St. Joseph,Dayton,OH,45402,2700
Mount Zion Christian Schools,Manchester,NH,03103,500
Lyndon High School,Lyndon,KS,66451,500
Magic Johnson Bridgescape Academy - North Lawndale,Chicago,IL,00nan,2700
Lockport Township High School,Lockport,IL,60441,500
Mark Twain Junior-Senior High School Beach Campus,San Diego,CA,92109,500
Fireside Christian Academy,Clearwater,FL,33760,500
Allison Academy,N Miami Beach,FL,33162,150
His Academy Christian School of Excellence,Stone Mtn,GA,30088,500
Pen Argyl Area High School,Pen Argyl,PA,18072,150
Marshfield Christian High School,Marshfield,WI,00nan,2700
Lisa Academy,Little Rock,AR,72205,500
Gaylesville High School,Gaylesville,AL,35973,150
Nazareth Area High School,Nazareth,PA,18064,150
Baldwyn High School,Baldwyn,MS,38824,150
Klamath Lake County Youth Ranch Incorporated,Bonanza,OR,97623,150
Milton Academy,Milton,MA,02186,500
Saint Michael-Albertville High School,Saint Michael,MN,55376,150
New Manna Christian School,Marion,NC,28752,500
Continuous Learning Center,Camden,SC,29020,150
Fyffe High School,Fyffe,AL,35971,150
North Education Center High School Adult Program,Columbus,OH,43202,150
Senatobia-Tate County Vocational-Technical Center,Coldwater,MS,38618,150
Pine Heights Christian School,North Fork,CA,93643,500
Unita Academy,Lewiston,UT,84320,500
Premier High School Of Dayton,Dayton,TX,77535,500
Barnum High School,Barnum,MN,55707,150
Rincon High School,Tucson,AZ,85711,150
East Linn Christian Academy,Lebanon,OR,97355,500
Chapel Hill Academy,Lincoln Park,NJ,07035,150
Sanger High School,Sanger,TX,76266,150
Accelerated Learning And Transition Academy,Houston,TX,77009,150
Connected Academy,Alpharetta,GA,30009,150
Cardinal Gibbons School,Baltimore,MD,21229,2700
Frankenmuth High School,Frankenmuth,MI,48734,150
UFT Charter School Secondary Academy,Brooklyn,NY,11207,500
Ahwahnee High School,Oakhurst,CA,93644,150
Noah Webster Academy,Saranac,MI,48881,150
Rosanky Christian Academy,Rosanky,TX,78953,500
Bread of Life Christian Academy,Rochester,NY,14625,500
Afro British American Education Recruitment: Training Institute,East Abia,,00nan,2700
Standard Apostolic Christian Academy,Newark,OH,43055,500
Depew High School,Depew,OK,74028,150
Jamaica Gateway To The Sciences,Jamaica,NY,11432,150
Dorius Academy,Layton,UT,84041,150
Ballard Memorial High School,Barlow,KY,42024,150
Atlanta International School,Atlanta,GA,30305,150
Democracy Preparatory Charter School,New York,NY,10030,150
Monroe 2 Orleans BOCES: Therapeutic Day Program,Spencerport,NY,14559,150
Goodwill Education Center,Victorville,CA,92392,150
McDonell Central Catholic High School,Chippewa Fls,WI,54729,500
John L Miller-Great Neck North High School,Great Neck,NY,11023,150
Port Richmond High School,Staten Island,NY,10302,150
Oaks Virtual Academy,Hilton Head,SC,29928,150
Upper Kennebec Valley Memorial High School,Bingham,ME,04920,150
Ravena-Coeymans-Selkirk Senior High School,Ravena,NY,12143,150
A Bowman Collegiate Institute,Saskatoon,SK,00nan,2700
Volcano Vista High School,Albuquerque,NM,87114,150
William Allen High School,Allentown,PA,18104,150
Rocky Mount Academy,Rocky Mount,NC,27803,500
Gwinnett Christian Academy,Snellville,GA,30039,500
