Name,City,State,Zip,Amount
Bridgeway Academy,Catasauqua,PA,18032,150
Catholic Central High School,Grand Rapids,MI,49503,2700
Poquoson High School,Poquoson,VA,23662,150
Red Mountain High School,Mesa,AZ,85207,150
Albany R III High School,Albany,MO,64402,150
Marine Military Academy,Harlingen,TX,78550,500
Schalmont Senior High School,Schenectady,NY,12306,150
Saint Lucie West Centennial High School,Port St Lucie,FL,34986,150
Lake Park High School - District 108,Roselle,IL,60172,150
Central Bucks High School East,Doylestown,PA,18902,150
Cranbrook Kingswood School,Bloomfld Hls,MI,48303,150
Big Lake High School,Big Lake,MN,55309,150
Woodlan Junior-Senior High School,Woodburn,IN,46797,150
Chippewa Falls Senior High School,Chippewa Fls,WI,54729,150
Archbishop Stepinac High School,White Plains,NY,10605,2700
Santa Monica High School,Santa Monica,CA,90405,150
Pahokee Middle-Senior High School,Pahokee,FL,33476,150
Harrison Center for Visual and Performing Arts,Lakeland,FL,33801,150
George Jenkins High School,Lakeland,FL,33813,150
Paul J Hagerty High School,Oviedo,FL,32765,150
General Douglas MacArthur High School,Levittown,NY,11756,150
Coupeville High School,Coupeville,WA,98239,150
Saint Mary's Academy,Fayetteville,GA,30214,2700
North Harford High School,Pylesville,MD,21132,150
Cheney High School,Cheney,WA,99004,150
La Salle College High School,Wyndmoor,PA,19038,2700
Lehman High School,Sidney,OH,45365,150
Mckinney High School,Mckinney,TX,75069,500
Jones County High School,Gray,GA,31032,150
Braintree High School,Braintree,MA,02184,150
Miami Christian School,Miami,FL,33172,500
Coppell High School,Coppell,TX,75019,150
Canterbury School Of Florida,St Petersburg,FL,33702,500
Roman Catholic High School,Philadelphia,PA,19107,2700
Mahopac High School,Mahopac,NY,10541,500
Academy of the Sierras,Reedley,CA,93654,500
Rhinelander High School,Rhinelander,WI,54501,150
University School at Nova Southeastern University,Davie,FL,33314,500
Forsyth Country Day School,Lewisville,NC,27023,150
Westland Hialeah Senior High School,Hialeah,FL,33012,150
Mount Paran Christian School,Kennesaw,GA,30152,500
Academy Of The Holy Names,Albany,NY,12208,2700
Tahoma Senior High School,Covington,WA,98042,150
Cor Jesu Academy,Saint Louis,MO,63123,2700
Fryeburg Academy,Fryeburg,ME,04037,150
David H Hickman High School,Columbia,MO,65203,150
Medway High School,Medway,MA,02053,500
Bishop Stang High School,N Dartmouth,MA,02747,2700
Woodland High School,Cartersville,GA,30120,150
St. John XXIII College Preparatory,Katy,TX,77449,2700
Deland High School,Deland,FL,32724,150
Miller City High School,Miller City,OH,45864,150
D U Fletcher High School,Neptune Beach,FL,32266,150
American Heritage School Plantation,Plantation,FL,33325,150
Saint Mary's High School,Annapolis,MD,21401,2700
Southwestern High School,Somerset,KY,42503,150
iForward,Grantsburg,WI,54840,150
Bethlehem High School,Bardstown,KY,40004,500
Hudson High School,Hudson,FL,34669,150
Coconut Creek High School,Coconut Creek,FL,33066,150
Woodstock High School,Woodstock,IL,60098,150
